start_seconds,sensor,frames,mean_alignment_error_deg,p95_alignment_error_deg
402.5,LeftLowerLeg,2400,5.29479708193835,6.6830226337360745
402.5,RightLowerLeg,2400,1.840033623973509,2.876253030631203
412.5,Pelvis,2400,2.7772683929897526,3.88756203469277
412.5,LeftForeArm,2400,0.8606686985242987,2.0108353915563666
412.5,RightForeArm,2400,0.3473185769396694,0.7232295881807543
412.5,LeftLowerLeg,2400,4.147380274194375,5.318727485937275
412.5,RightLowerLeg,2400,1.6392886821850972,2.3922210545856544
422.5,Pelvis,2400,3.043621620388451,4.041820107570209
422.5,LeftForeArm,2400,1.0457497392894204,2.0083514042502584
422.5,RightForeArm,2400,0.2502595882898884,0.39712439928428633
422.5,LeftLowerLeg,2400,3.892446420309713,4.301914392639997
422.5,RightLowerLeg,2400,1.1573710378734847,1.3864909324605845
432.5,Pelvis,2400,1.9314408720156104,3.0899520132879665
432.5,LeftForeArm,2400,0.5720826567563427,1.2889876415868364
432.5,RightForeArm,2400,0.8518408651922891,2.461336623513994
432.5,LeftLowerLeg,2400,3.362944170424165,4.3232795720427815
432.5,RightLowerLeg,2400,1.4019939339468117,2.1009413803479333
442.5,Pelvis,2400,1.7911475349819888,3.3719090716777105
442.5,LeftForeArm,2400,0.4649592962797596,0.9311384677398212
442.5,RightForeArm,2400,0.6817255481928165,2.0911692169208234
442.5,LeftLowerLeg,2400,5.180913145203152,7.846997084285332
442.5,RightLowerLeg,2400,3.7469941923587293,8.181266917795947
452.5,Pelvis,2400,1.7671951647793684,2.2372629978497094
452.5,LeftForeArm,2400,0.34043207669175,0.8489758674074936
452.5,RightForeArm,2400,0.39231113673237206,0.799345435467699
452.5,LeftLowerLeg,2400,5.3525337393302115,6.463113193565978
452.5,RightLowerLeg,2400,3.5927123125275586,4.034942517456683
462.5,Pelvis,2400,1.8434616876559577,2.4286129080768335
462.5,LeftForeArm,2400,0.34868863941137584,0.6929471207645845
462.5,RightForeArm,2400,0.3581141987878248,0.6689962280306175
462.5,LeftLowerLeg,2400,5.0598185617197124,5.876143923644538
462.5,RightLowerLeg,2400,3.5503857591167898,4.2828542264070855
472.5,Pelvis,2400,1.1387871045495745,1.7604564654012362
472.5,LeftForeArm,2400,0.30177730358645616,0.7285227133118773
