second,native_frames,left_knee_deg_valid_count,left_knee_deg_min,left_knee_deg_median,left_knee_deg_max,right_knee_deg_valid_count,right_knee_deg_min,right_knee_deg_median,right_knee_deg_max,trunk_tilt_deg_valid_count,trunk_tilt_deg_min,trunk_tilt_deg_median,trunk_tilt_deg_max,pelvis_z_m_valid_count,pelvis_z_m_min,pelvis_z_m_median,pelvis_z_m_max
116,240,240,2.0471746921539307,13.023048400878906,60.59906005859375,240,0.6737661361694336,15.932140350341797,53.09720993041992,240,1.800484538078308,4.510035037994385,8.05488395690918,240,1.0679500102996826,1.0934849977493286,1.1174119710922241
117,240,240,1.7430474758148193,13.743715286254883,59.731204986572266,240,0.5421248078346252,12.968338012695312,54.32023620605469,240,2.9189987182617188,7.077781677246094,8.868578910827637,240,1.0600889921188354,1.0872750282287598,1.112028956413269
118,240,240,2.4925360679626465,15.599370002746582,60.186134338378906,240,0.680413007736206,15.200441360473633,53.88854217529297,240,3.6649529933929443,5.040562629699707,7.363725662231445,240,1.054021954536438,1.0824189186096191,1.106600046157837
119,240,240,2.78389573097229,11.95974349975586,57.986698150634766,240,0.26834094524383545,12.587013244628906,52.4616813659668,240,3.0060887336730957,6.391247272491455,9.252490043640137,240,1.0563019514083862,1.0875940322875977,1.1081500053405762
120,240,240,1.324264645576477,8.331119537353516,60.968135833740234,240,0.3820611834526062,15.864082336425781,52.10331726074219,240,5.211843490600586,7.352378845214844,10.615724563598633,240,1.0605189800262451,1.0964274406433105,1.117427945137024
121,240,240,2.0585198402404785,14.1571044921875,57.65000915527344,240,0.2631871700286865,14.893202781677246,51.707366943359375,240,4.873188495635986,7.139490127563477,9.85249137878418,240,1.0547939538955688,1.0884854793548584,1.1139990091323853
122,240,240,2.7607364654541016,11.986503601074219,58.95759582519531,240,0.2873553931713104,15.689522743225098,52.22454071044922,240,5.185459613800049,6.444685935974121,9.763116836547852,240,1.0590670108795166,1.0910710096359253,1.1144870519638062
123,240,240,2.699143648147583,14.280252456665039,59.100337982177734,240,0.1988101452589035,16.749488830566406,53.595497131347656,240,2.425757646560669,4.477931499481201,8.025094985961914,240,1.0580730438232422,1.087315559387207,1.1138880252838135
124,240,240,1.4636656045913696,19.031341552734375,60.47522735595703,240,0.40396764874458313,20.589128494262695,53.45394515991211,240,2.4544734954833984,3.7706470489501953,5.976353168487549,240,1.0592429637908936,1.0865944623947144,1.111050009727478
125,240,240,2.2355458736419678,10.802469253540039,59.1735725402832,240,0.25944316387176514,15.848968505859375,54.79250717163086,240,2.0886285305023193,5.675040245056152,7.715027809143066,240,1.060122013092041,1.0831689834594727,1.1039010286331177
